state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,0,0.0,0.5,2.0,F,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Medsize
Arizona,0,0.5,0.5,0.0,F,Suburban,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize
Nevada,0,1.0,0.5,2.0,F,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize
California,0,0.0,0.5,0.0,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize
Washington,0,0.0,0.5,2.0,M,Rural,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,1,0.0,0.5,2.0,F,Rural,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize
Oregon,1,0.0,0.5,2.0,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Arizona,0,1.0,1.0,0.0,M,Urban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,1,0.0,0.5,0.0,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize
Oregon,0,0.5,0.5,2.0,F,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
California,0,0.0,0.5,0.0,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
California,0,0.0,0.5,0.0,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize
California,0,1.0,1.0,2.0,M,Urban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize
Arizona,1,0.0,0.0,2.0,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize
California,0,0.0,0.5,2.0,M,Urban,Single,Corporate Auto,Offer4,Call Center,Four-Door Car,Medsize
Oregon,0,0.0,0.5,2.0,F,Rural,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
Nevada,0,0.0,0.0,0.0,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize
California,0,0.0,0.5,0.0,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize
Oregon,0,0.0,0.5,2.0,M,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize
California,0,1.0,0.0,2.0,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Small
Oregon,0,0.0,0.0,2.0,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize
Washington,0,0.5,0.5,,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize
Arizona,1,0.0,0.5,0.0,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
Nevada,0,0.0,0.5,0.0,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize
California,0,0.0,0.5,,F,Suburban,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize
Oregon,0,0.0,0.5,2.0,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Large
California,0,1.0,0.5,0.0,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small
Washington,0,0.5,1.0,,F,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize
Arizona,0,1.0,0.5,2.0,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Large
Oregon,0,0.5,1.0,2.0,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small
Arizona,0,0.0,0.5,2.0,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Small
Nevada,0,0.5,0.0,2.0,M,Urban,Married,Corporate Auto,Offer2,Agent,Luxury,Medsize
California,0,0.0,0.5,0.0,M,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
Washington,0,0.0,0.5,2.0,M,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Small
Oregon,0,0.0,0.5,2.0,F,Rural,Married,Corporate Auto,Offer3,Web,Four-Door Car,Medsize
Arizona,0,0.0,0.0,2.0,F,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize
California,0,1.0,0.5,2.0,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small
Oregon,0,0.5,1.0,2.0,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small
Oregon,0,0.5,0.5,0.0,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Small
Arizona,0,0.0,0.0,2.0,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize
Nevada,0,0.0,0.0,0.0,F,Suburban,Married,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize
Oregon,1,0.0,0.5,2.0,F,Rural,Single,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize
California,1,0.5,0.5,2.0,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small
Arizona,0,0.0,0.0,2.0,M,Suburban,Married,Personal Auto,Offer4,Agent,Luxury,Medsize
Washington,0,0.0,0.5,2.0,M,Suburban,Married,Special Auto,Offer2,Call Center,Four-Door Car,Large
Oregon,0,1.0,1.0,,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize
Arizona,0,0.0,0.5,0.0,M,Suburban,Single,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize
Oregon,0,0.0,0.0,2.0,F,Suburban,Single,Personal Auto,Offer4,Agent,Two-Door Car,Medsize
California,0,0.5,0.5,0.0,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize
Arizona,0,0.0,0.0,0.0,F,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize
Oregon,0,0.0,0.5,2.0,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small
California,1,0.0,0.5,2.0,F,Suburban,Divorced,Corporate Auto,Offer1,Web,SUV,Medsize
Nevada,0,0.0,0.0,2.0,F,Rural,Married,Special Auto,Offer4,Branch,Four-Door Car,Medsize
Washington,0,0.0,0.5,2.0,M,Suburban,Single,Personal Auto,Offer4,Agent,Four-Door Car,Medsize
California,0,1.0,0.5,,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small
Arizona,0,0.5,0.5,2.0,F,Suburban,Divorced,Corporate Auto,Offer3,Call Center,Four-Door Car,Small
California,0,0.0,0.5,2.0,M,Urban,Married,Special Auto,Offer2,Branch,Four-Door Car,Medsize
Arizona,0,0.0,0.0,0.0,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small
Oregon,0,0.5,0.0,,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize
Oregon,0,1.0,1.0,,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
Arizona,1,0.0,0.5,0.5,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize
California,0,1.0,0.5,0.0,F,Suburban,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Small
Oregon,0,0.5,0.5,0.0,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Small
California,0,0.0,0.0,2.0,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize
Arizona,0,0.0,0.5,0.0,F,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Large
Washington,0,0.0,0.5,2.0,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize
